polymer nbases
F11Fcsw_48017 2 49
F11Fcsw_120586 2 49
F11Fcsw_383503 2 49
F11Fcsw_508525 2 49
F12Fcsw_82858 2 49
F12Fcsw_424795 2 49
F12Fcsw_464316 2 49
F12Fcsw_477831 2 49
F12Fcsw_493767 2 49
F12Fcsw_504862 2 49
F13Fcsw_57257 2 49
F13Fcsw_185533 2 49
F13Fcsw_197745 2 49
F13Fcsw_220540 2 49
F13Fcsw_223741 2 49
F13Fcsw_228200 2 49
F14Fcsw_52084 2 49
F14Fcsw_71841 2 49
F14Fcsw_79195 2 49
F14Fcsw_98020 2 49
F14Fcsw_121554 2 49
F14Fcsw_172314 2 49
F14Fcsw_224754 2 49
F14Fcsw_263674 2 49
F22Fcsw_508477 2 49
F31Fcsw_339729 2 49
F32Fcsw_238236 2 49
F33Fcsw_102958 2 49
F33Fcsw_122955 2 49
F33Fcsw_137917 2 49
F33Fcsw_260035 2 49
F34Fcsw_269654 2 49
F34Fcsw_270127 2 49
M13Fcsw_101767 2 49
M13Fcsw_106380 2 49
M14Fcsw_98766 2 49
M14Fcsw_157261 2 49
M14Fcsw_203307 2 49
M14Fcsw_271576 2 49
M22Fcsw_369084 2 49
M23Fcsw_214610 2 49
M24Fcsw_103384 2 49
M24Fcsw_249885 2 49
M42Fcsw_170137 2 49
M43Fcsw_162183 2 49
M44Fcsw_113733 2 49
M44Fcsw_196429 2 49
F12Fcsw_471944 2 50
M13Fcsw_3710 2 51
M21Fcsw_219978 2 51
F11Fcsw_411620 2 52
F34Fcsw_125539 2 52
M41Fcsw_185083 2 52
F11Fcsw_98011 2 53
F11Fcsw_126482 2 53
F14Fcsw_108974 2 53
F14Fcsw_171676 2 53
F33Fcsw_77694 2 53
M11Fcsw_384147 2 53
M14Fcsw_47238 2 53
M23Fcsw_36603 2 53
M23Fcsw_60969 2 53
M24Fcsw_66950 2 53
M24Fcsw_74170 2 53
M41Fcsw_190444 2 57
M42Fcsw_310288 2 58
M41Fcsw_343901 2 59
M43Fcsw_259561 2 59
F34Fcsw_52382 2 62
M13Fcsw_209151 2 62
M13Fcsw_257886 2 62
M14Fcsw_207589 2 65
M43Fcsw_64724 2 65
F12Fcsw_507331 2 66
F31Fcsw_326471 2 68
M23Fcsw_60561 2 70
M44Fcsw_232375 2 74
F11Fcsw_6293 3 49
F11Fcsw_28971 3 49
F11Fcsw_60601 3 49
F11Fcsw_70517 3 49
F11Fcsw_90345 3 49
F11Fcsw_117062 3 49
F11Fcsw_122102 3 49
F11Fcsw_386983 3 49
F11Fcsw_393669 3 49
F11Fcsw_446496 3 49
F11Fcsw_451652 3 49
F11Fcsw_465938 3 49
F11Fcsw_474795 3 49
F11Fcsw_480933 3 49
F11Fcsw_482227 3 49
F11Fcsw_497985 3 49
F11Fcsw_498132 3 49
F11Fcsw_501144 3 49
F11Fcsw_505826 3 49
F12Fcsw_34347 3 49
F12Fcsw_48652 3 49
F12Fcsw_88338 3 49
F12Fcsw_99771 3 49
F12Fcsw_107529 3 49
F12Fcsw_115773 3 49
F12Fcsw_116495 3 49
F12Fcsw_120688 3 49
F12Fcsw_123286 3 49
F12Fcsw_125230 3 49
F12Fcsw_125730 3 49
F12Fcsw_388214 3 49
F12Fcsw_400091 3 49
F12Fcsw_417333 3 49
F12Fcsw_428450 3 49
F12Fcsw_433644 3 49
F12Fcsw_439325 3 49
F12Fcsw_447724 3 49
F12Fcsw_448681 3 49
F12Fcsw_452888 3 49
F12Fcsw_458776 3 49
F12Fcsw_476785 3 49
F12Fcsw_485320 3 49
F12Fcsw_485700 3 49
F12Fcsw_499687 3 49
F12Fcsw_502216 3 49
F12Fcsw_503424 3 49
F12Fcsw_505233 3 49
F12Fcsw_505468 3 49
F12Fcsw_505525 3 49
F12Fcsw_506513 3 49
F12Fcsw_507104 3 49
F12Fcsw_507678 3 49
F13Fcsw_25699 3 49
F13Fcsw_38924 3 49
F13Fcsw_54091 3 49
F13Fcsw_64830 3 49
F13Fcsw_121405 3 49
F13Fcsw_121606 3 49
F13Fcsw_124857 3 49
F13Fcsw_131111 3 49
F13Fcsw_160566 3 49
F13Fcsw_160777 3 49
F13Fcsw_163284 3 49
F13Fcsw_167766 3 49
F13Fcsw_172272 3 49
F13Fcsw_176015 3 49
F13Fcsw_192525 3 49
F13Fcsw_201733 3 49
F13Fcsw_210442 3 49
F13Fcsw_217981 3 49
F13Fcsw_218236 3 49
F13Fcsw_244371 3 49
F13Fcsw_250049 3 49
F13Fcsw_262403 3 49
F13Fcsw_268115 3 49
F13Fcsw_272414 3 49
F13Fcsw_273682 3 49
F14Fcsw_45107 3 49
F14Fcsw_57459 3 49
F14Fcsw_83352 3 49
F14Fcsw_89211 3 49
F14Fcsw_119346 3 49
F14Fcsw_121832 3 49
F14Fcsw_125395 3 49
F14Fcsw_127438 3 49
F14Fcsw_166771 3 49
F14Fcsw_222220 3 49
F14Fcsw_225852 3 49
F14Fcsw_240247 3 49
F14Fcsw_252698 3 49
F14Fcsw_256192 3 49
F14Fcsw_258095 3 49
F14Fcsw_259799 3 49
F14Fcsw_265360 3 49
F21Fcsw_64455 3 49
F21Fcsw_111783 3 49
F21Fcsw_115051 3 49
F21Fcsw_115270 3 49
F21Fcsw_123032 3 49
F21Fcsw_126399 3 49
F21Fcsw_407071 3 49
F21Fcsw_428818 3 49
F21Fcsw_435167 3 49
F21Fcsw_435689 3 49
F21Fcsw_479611 3 49
F21Fcsw_485507 3 49
F21Fcsw_490385 3 49
F21Fcsw_506393 3 49
F21Fcsw_507256 3 49
F22Fcsw_15847 3 49
F22Fcsw_20540 3 49
F22Fcsw_35784 3 49
F22Fcsw_60464 3 49
F22Fcsw_76613 3 49
F22Fcsw_83173 3 49
F22Fcsw_89608 3 49
F22Fcsw_90059 3 49
F22Fcsw_91671 3 49
F22Fcsw_99537 3 49
F22Fcsw_103868 3 49
F22Fcsw_113063 3 49
F22Fcsw_118573 3 49
F22Fcsw_123251 3 49
F22Fcsw_124200 3 49
F22Fcsw_125974 3 49
F22Fcsw_400607 3 49
F22Fcsw_435499 3 49
F22Fcsw_455274 3 49
F22Fcsw_471853 3 49
F22Fcsw_477119 3 49
F22Fcsw_493936 3 49
F22Fcsw_502095 3 49
F22Fcsw_505495 3 49
F22Fcsw_506097 3 49
F22Fcsw_509316 3 49
F23Fcsw_26585 3 49
F23Fcsw_87336 3 49
F23Fcsw_124319 3 49
F23Fcsw_151359 3 49
F23Fcsw_169006 3 49
F23Fcsw_237138 3 49
F23Fcsw_248199 3 49
F23Fcsw_254644 3 49
F23Fcsw_259402 3 49
F23Fcsw_262678 3 49
F23Fcsw_263033 3 49
F23Fcsw_263984 3 49
F24Fcsw_21498 3 49
F24Fcsw_33276 3 49
F24Fcsw_70067 3 49
F24Fcsw_77730 3 49
F24Fcsw_97678 3 49
F24Fcsw_123848 3 49
F24Fcsw_146148 3 49
F24Fcsw_192161 3 49
F24Fcsw_197913 3 49
F24Fcsw_210461 3 49
F24Fcsw_216949 3 49
F24Fcsw_227592 3 49
F24Fcsw_239415 3 49
F24Fcsw_242079 3 49
F24Fcsw_251146 3 49
F24Fcsw_254755 3 49
F24Fcsw_260303 3 49
F24Fcsw_261169 3 49
F24Fcsw_265904 3 49
F24Fcsw_267966 3 49
